channel,x_int,y_int,x,y
Fpz,0,225,0.0,0.5
Oz,0,-225,0.0,-0.5
POz,0,-168,0.0,-0.373
Pz,0,-113,0.0,-0.251
CPz,0,-53,0.0,-0.118
Nz,0,280,0.0,0.622
AFz,0,168,0.0,0.373
Fz,0,110,0.0,0.244
FCz,0,52,0.0,0.116
Cz,0,0,0.0,0.0
C2,55,0,0.122,0.0
C4,112,0,0.249,0.0
C6,168,0,0.373,0.0
T8,225,0,0.5,0.0
T10,281,0,0.624,0.0
A2,323,0,0.718,0.0
C1,-53,0,-0.118,0.0
C3,-110,0,-0.244,0.0
C5,-167,0,-0.371,0.0
T7,-225,0,-0.5,0.0
T9,-281,0,-0.624,0.0
A1,-323,0,-0.718,0.0
Iz,0,-280,0.0,-0.622
Fp1,-64,215,-0.142,0.478
AF3,-76,166,-0.169,0.369
AF7,-130,178,-0.289,0.396
F1,-43,111,-0.096,0.247
F3,-90,114,-0.2,0.253
F5,-136,120,-0.302,0.267
F7,-177,131,-0.393,0.291
FC1,-51,55,-0.113,0.122
FC3,-103,56,-0.229,0.124
FC5,-156,61,-0.347,0.136
FT7,-209,67,-0.464,0.149
F9,-237,151,-0.527,0.336
FT9,-268,71,-0.596,0.158
Fp2,65,216,0.144,0.48
AF4,77,167,0.171,0.371
AF8,132,178,0.293,0.396
F2,44,112,0.098,0.249
F4,92,115,0.204,0.256
F6,137,121,0.304,0.269
F8,179,131,0.398,0.291
FC2,52,55,0.116,0.122
FC4,104,57,0.231,0.127
FC6,158,62,0.351,0.138
FC8,211,68,0.469,0.151
F10,239,152,0.531,0.338
FT10,269,72,0.598,0.16
O1,-63,-217,-0.14,-0.482
PO3,-75,-168,-0.167,-0.373
PO7,-129,-180,-0.287,-0.4
P1,-42,-114,-0.093,-0.253
P3,-90,-117,-0.2,-0.26
P5,-135,-123,-0.3,-0.273
P7,-176,-134,-0.391,-0.298
CP1,-50,-58,-0.111,-0.129
CP3,-102,-59,-0.227,-0.131
CP5,-155,-64,-0.344,-0.142
TP7,-209,-70,-0.464,-0.156
P9,-236,-153,-0.524,-0.34
TP9,-267,-74,-0.593,-0.164
O2,65,-216,0.144,-0.48
PO4,77,-168,0.171,-0.373
PO8,131,-179,0.291,-0.398
P2,44,-114,0.098,-0.253
P4,92,-117,0.204,-0.26
P6,137,-123,0.304,-0.273
P8,178,-133,0.396,-0.296
CP2,52,-57,0.116,-0.127
CP4,104,-59,0.231,-0.131
CP6,157,-64,0.349,-0.142
TP8,211,-69,0.469,-0.153
P10,238,-153,0.529,-0.34
TP10,269,-73,0.598,-0.162
